"","frmstat","tostat","Date_of_Travel"
"244","DFW","LUV","22-01-2015"
"245","DFW","LUV","28-07-2014"
"246","DFW","LUV","17-02-2015"
"248","DFW","MAD","20-02-2015"
"249","DFW","MAD","17-12-2014"
"250","DFW","MAD","12-10-2014"
"251","DFW","MAD","21-08-2014"
"252","DFW","MAD","08-10-2014"
"253","DFW","MAD","08-05-2015"
"254","DFW","MAD","15-05-2015"
"255","DFW","MAD","30-12-2014"
"256","DFW","MAD","13-11-2014"
"257","DFW","MAD","04-04-2015"
"258","DFW","MAD","21-02-2015"
"259","DFW","MAD","16-03-2015"
"260","DFW","MAD","09-04-2015"
"261","DFW","MAD","22-07-2014"
"262","DFW","MAD","11-10-2014"
"263","DFW","MAD","08-11-2014"
"264","DFW","MAD","01-02-2015"
"265","DFW","MAD","10-09-2014"
"266","DFW","MAD","28-08-2014"
"267","DFW","MAD","22-10-2014"
"268","DFW","MAD","20-03-2015"
"270","DFW","MUM","15-01-2015"
"271","DFW","MUM","17-05-2015"
"272","DFW","MUM","04-09-2014"
"273","DFW","MUM","04-04-2015"
"274","DFW","MUM","12-03-2015"
"275","DFW","MUM","22-06-2015"
"276","DFW","MUM","02-09-2014"
"277","DFW","MUM","27-07-2014"
"278","DFW","MUM","08-10-2014"
"279","DFW","MUM","07-01-2015"
"280","DFW","MUM","13-07-2014"
"281","DFW","MUM","02-01-2015"
"282","DFW","MUM","07-09-2014"
"283","DFW","MUM","14-11-2014"
"284","DFW","MUM","27-10-2014"
"285","DFW","MUM","13-04-2015"
"286","DFW","MUM","24-12-2014"
"287","DFW","MUM","19-01-2015"
"288","DFW","MUM","12-01-2015"
"289","DFW","MUM","08-07-2014"
"290","DFW","MUM","11-03-2015"
"292","DFW","MUM","13-02-2015"
"293","DFW","NDL","12-12-2014"
"294","DFW","NDL","12-08-2014"
"295","DFW","NDL","10-08-2014"
"296","DFW","NDL","16-01-2015"
"297","DFW","NDL","09-07-2014"
"298","DFW","NDL","04-02-2015"
"299","DFW","NDL","18-11-2014"
"301","DFW","NDL","04-09-2014"
"302","DFW","NDL","14-07-2014"
"303","DFW","NDL","26-07-2014"
"304","DUB","BLR","24-12-2014"
"305","DUB","BLR","13-11-2014"
"306","DUB","BLR","05-10-2014"
"307","DUB","BLR","25-03-2015"
"308","DUB","BLR","22-05-2015"
"309","DUB","BLR","11-08-2014"
"310","DUB","BLR","15-02-2015"
"311","DUB","BLR","15-06-2015"
"312","DUB","BLR","09-01-2015"
"313","DUB","BLR","18-08-2014"
"314","DUB","DFW","04-12-2014"
"315","DUB","DFW","23-11-2014"
"316","DUB","DFW","05-04-2015"
"317","DUB","DFW","06-02-2015"
"318","DUB","DFW","09-11-2014"
"319","DUB","DFW","25-12-2014"
"320","DUB","DFW","09-09-2014"
"321","DUB","DFW","27-12-2014"
"322","DUB","DFW","01-05-2015"
"323","DUB","DFW","04-10-2014"
"324","DUB","DFW","29-08-2014"
"325","DUB","DFW","06-03-2015"
"326","DUB","DFW","01-11-2014"
"327","DUB","DFW","08-12-2014"
"328","DUB","DFW","28-02-2015"
"329","DUB","DFW","30-04-2015"
"330","DUB","DFW","08-05-2015"
"350","DUB","JFK","05-08-2014"
"351","DUB","JFK","02-03-2015"
"352","DUB","JFK","15-08-2014"
"353","DUB","JFK","26-08-2014"
"354","DUB","JFK","17-07-2014"
"355","DUB","JFK","10-01-2015"
"356","DUB","JFK","14-03-2015"
"357","DUB","JFK","28-01-2015"
"358","DUB","JFK","30-08-2014"
"359","DUB","JFK","08-02-2015"
"360","DUB","JFK","09-06-2015"
"361","DUB","JFK","09-05-2015"
"362","DUB","LAX","04-02-2015"
"363","DUB","LAX","09-12-2014"
"364","DUB","LAX","26-09-2014"
"365","DUB","LAX","28-11-2014"
"366","DUB","LAX","26-08-2014"
"367","DUB","LAX","27-07-2014"
"368","DUB","LAX","24-03-2015"
"369","DUB","LAX","16-06-2015"
"370","DUB","LAX","02-03-2015"
"371","DUB","LAX","13-03-2015"
"372","DUB","LAX","10-04-2015"
"373","DUB","LAX","12-02-2015"
"374","DUB","LAX","07-02-2015"
"375","DUB","LAX","02-01-2015"
"376","DUB","LHR","01-01-2015"
"377","DUB","LHR","05-01-2015"
"378","DUB","LHR","04-01-2015"
"379","DUB","LHR","08-02-2015"
"380","DUB","LHR","30-03-2015"
"381","DUB","LHR","21-06-2015"
"382","DUB","LHR","15-09-2014"
"383","DUB","LHR","29-05-2015"
"384","DUB","LHR","05-09-2014"
"385","DUB","LHR","08-10-2014"
"386","DUB","LHR","15-10-2014"
"387","DUB","LHR","10-08-2014"
"388","DUB","LHR","07-10-2014"
"389","DUB","LHR","14-02-2015"
"390","DUB","LHR","15-08-2014"
"391","DUB","LUV","26-05-2015"
"392","DUB","LUV","03-02-2015"
"393","DUB","LUV","23-06-2015"
"394","DUB","LUV","14-09-2014"
"395","DUB","LUV","12-06-2015"
"396","DUB","LUV","05-08-2014"
"397","DUB","LUV","11-06-2015"
"398","DUB","LUV","13-09-2014"
"399","DUB","LUV","01-01-2015"
"400","DUB","LUV","20-08-2014"
"401","DUB","LUV","07-03-2015"
"402","DUB","LUV","20-10-2014"
"403","DUB","LUV","20-02-2015"
"404","DUB","MAD","16-06-2015"
"405","DUB","MAD","01-04-2015"
"406","DUB","MAD","22-08-2014"
"407","DUB","MAD","13-10-2014"
"408","DUB","MAD","20-08-2014"
"409","DUB","MAD","04-04-2015"
"410","DUB","MAD","28-07-2014"
"411","DUB","MAD","05-05-2015"
"412","DUB","MAD","17-11-2014"
"413","DUB","MAD","02-01-2015"
"414","DUB","MAD","06-01-2015"
"415","DUB","MAD","02-04-2015"
"416","DUB","MAD","10-04-2015"
"417","DUB","MAD","15-10-2014"
"418","DUB","MUM","30-08-2014"
"419","DUB","MUM","06-05-2015"
"420","DUB","MUM","23-06-2015"
"421","DUB","MUM","22-03-2015"
"422","DUB","MUM","09-05-2015"
"423","DUB","MUM","13-08-2014"
"424","DUB","MUM","22-08-2014"
"425","DUB","MUM","08-05-2015"
"426","DUB","MUM","12-06-2015"
"427","DUB","MUM","04-03-2015"
"428","DUB","NDL","10-05-2015"
"429","DUB","NDL","23-12-2014"
"430","DUB","NDL","14-03-2015"
"431","DUB","NDL","06-01-2015"
"432","DUB","NDL","19-01-2015"
"433","DUB","NDL","16-02-2015"
"434","DUB","NDL","08-11-2014"
"435","DUB","NDL","25-08-2014"
"436","DUB","NDL","21-10-2014"
"437","DUB","NDL","01-01-2015"
"438","DUB","NDL","26-09-2014"
"439","DUB","NDL","11-11-2014"
"440","DUB","NDL","08-03-2015"
"441","DUB","NDL","20-11-2014"
"442","DUB","NDL","06-10-2014"
"443","JFK","BLR","27-07-2014"
"444","JFK","BLR","04-06-2015"
"445","JFK","BLR","20-11-2014"
"446","JFK","BLR","05-12-2014"
"447","JFK","BLR","21-02-2015"
"448","JFK","BLR","29-08-2014"
"449","JFK","BLR","17-04-2015"
"450","JFK","BLR","07-08-2014"
"451","JFK","BLR","07-06-2015"
"452","JFK","BLR","10-10-2014"
"453","JFK","BLR","22-02-2015"
"454","JFK","BLR","21-12-2014"
"455","JFK","BLR","03-03-2015"
"456","JFK","BLR","18-05-2015"
"457","JFK","BLR","01-11-2014"
"458","JFK","BLR","02-03-2015"
"459","JFK","BLR","28-04-2015"
"460","JFK","BLR","21-05-2015"
"461","JFK","BLR","07-07-2014"
"462","JFK","DFW","29-09-2014"
"463","JFK","DFW","27-02-2015"
"464","JFK","DFW","21-04-2015"
"465","JFK","DFW","20-10-2014"
"466","JFK","DFW","05-10-2014"
"467","JFK","DFW","02-08-2014"
"468","JFK","DFW","07-04-2015"
"469","JFK","DFW","13-11-2014"
"470","JFK","DFW","20-02-2015"
"471","JFK","DFW","24-08-2014"
"472","JFK","DFW","25-07-2014"
"473","JFK","DFW","18-11-2014"
"474","JFK","DFW","25-04-2015"
"475","JFK","DFW","28-04-2015"
"476","JFK","DFW","29-11-2014"
"477","JFK","DFW","30-01-2015"
"478","JFK","DFW","04-09-2014"
"479","JFK","DFW","19-11-2014"
"480","JFK","DFW","23-12-2014"
"481","JFK","DFW","26-03-2015"
"482","JFK","DFW","31-03-2015"
"483","JFK","DUB","11-01-2015"
"484","JFK","DUB","28-11-2014"
"485","JFK","DUB","20-12-2014"
"486","JFK","DUB","12-03-2015"
"487","JFK","DUB","02-06-2015"
"488","JFK","DUB","09-08-2014"
"489","JFK","DUB","18-02-2015"
"490","JFK","DUB","30-08-2014"
"491","JFK","DUB","01-10-2014"
"492","JFK","DUB","03-02-2015"
"493","JFK","DUB","02-04-2015"
"494","JFK","DUB","26-02-2015"
"495","JFK","DUB","26-07-2014"
"496","JFK","DUB","24-08-2014"
"497","JFK","DUB","06-04-2015"
"498","JFK","DUB","03-05-2015"
"500","JFK","DUB","22-10-2014"
"501","JFK","DUB","05-06-2015"
"516","JFK","LAX","09-07-2014"
"517","JFK","LAX","13-09-2014"
"518","JFK","LAX","19-02-2015"
"519","JFK","LAX","06-07-2014"
"520","JFK","LAX","30-04-2015"
"521","JFK","LAX","09-09-2014"
"522","JFK","LAX","04-11-2014"
"523","JFK","LAX","27-11-2014"
"524","JFK","LAX","30-07-2014"
"525","JFK","LAX","15-01-2015"
"526","JFK","LAX","28-08-2014"
"527","JFK","LAX","27-01-2015"
"528","JFK","LAX","09-03-2015"
"529","JFK","LAX","30-12-2014"
"530","JFK","LAX","17-06-2015"
"531","JFK","LHR","15-02-2015"
"532","JFK","LHR","14-12-2014"
"533","JFK","LHR","10-04-2015"
"534","JFK","LHR","07-03-2015"
"535","JFK","LHR","06-08-2014"
"536","JFK","LHR","05-06-2015"
"537","JFK","LHR","29-11-2014"
"538","JFK","LHR","11-02-2015"
"539","JFK","LHR","12-01-2015"
"540","JFK","LHR","27-12-2014"
"541","JFK","LHR","23-01-2015"
"542","JFK","LHR","31-12-2014"
"543","JFK","LHR","06-12-2014"
"544","JFK","LHR","21-04-2015"
"545","JFK","LHR","06-05-2015"
"546","JFK","LHR","10-07-2014"
"548","JFK","LHR","10-12-2014"
"549","JFK","LUV","21-03-2015"
"550","JFK","LUV","07-11-2014"
"551","JFK","LUV","26-10-2014"
"552","JFK","LUV","10-11-2014"
"553","JFK","LUV","18-02-2015"
"554","JFK","LUV","29-11-2014"
"555","JFK","LUV","28-05-2015"
"556","JFK","LUV","14-01-2015"
"557","JFK","LUV","20-07-2014"
"558","JFK","LUV","09-02-2015"
"559","JFK","LUV","17-01-2015"
"560","JFK","LUV","26-04-2015"
"561","JFK","LUV","17-04-2015"
"562","JFK","LUV","14-09-2014"
"563","JFK","LUV","13-12-2014"
"564","JFK","LUV","02-01-2015"
"565","JFK","MAD","28-11-2014"
"566","JFK","MAD","16-03-2015"
"567","JFK","MAD","30-10-2014"
"568","JFK","MAD","09-09-2014"
"569","JFK","MAD","24-08-2014"
"570","JFK","MAD","20-07-2014"
"571","JFK","MAD","23-10-2014"
"572","JFK","MAD","09-02-2015"
"573","JFK","MAD","06-01-2015"
"574","JFK","MAD","11-05-2015"
"575","JFK","MAD","15-07-2014"
"576","JFK","MAD","05-01-2015"
"577","JFK","MAD","15-06-2015"
"578","JFK","MUM","18-11-2014"
"579","JFK","MUM","16-01-2015"
"580","JFK","MUM","29-10-2014"
"581","JFK","MUM","23-02-2015"
"582","JFK","MUM","14-08-2014"
"583","JFK","MUM","23-08-2014"
"584","JFK","MUM","09-01-2015"
"585","JFK","MUM","19-11-2014"
"586","JFK","MUM","20-03-2015"
"587","JFK","MUM","03-10-2014"
"588","JFK","MUM","01-04-2015"
"589","JFK","MUM","31-08-2014"
"590","JFK","NDL","03-03-2015"
"591","JFK","NDL","05-10-2014"
"592","JFK","NDL","22-10-2014"
"593","JFK","NDL","04-09-2014"
"594","JFK","NDL","11-02-2015"
"595","JFK","NDL","13-01-2015"
"596","JFK","NDL","15-07-2014"
"597","JFK","NDL","13-12-2014"
"598","JFK","NDL","19-10-2014"
"599","JFK","NDL","28-10-2014"
"600","JFK","NDL","06-08-2014"
"601","JFK","NDL","02-09-2014"
"602","JFK","NDL","28-03-2015"
"603","JFK","NDL","31-08-2014"
"605","JFK","NDL","16-06-2015"
"606","JFK","NDL","08-04-2015"
"607","JFK","NDL","05-09-2014"
"608","JFK","NDL","19-05-2015"
"610","JFK","NDL","07-04-2015"
"611","LAX","BLR","25-01-2015"
"612","LAX","BLR","07-03-2015"
"613","LAX","BLR","22-06-2015"
"614","LAX","BLR","05-11-2014"
"615","LAX","BLR","29-07-2014"
"616","LAX","BLR","30-10-2014"
"618","LAX","BLR","06-09-2014"
"619","LAX","BLR","10-06-2015"
"620","LAX","BLR","28-11-2014"
"621","LAX","BLR","29-11-2014"
"622","LAX","BLR","29-03-2015"
"623","LAX","DFW","30-08-2014"
"624","LAX","DFW","28-09-2014"
"625","LAX","DFW","18-08-2014"
"626","LAX","DFW","03-09-2014"
"627","LAX","DFW","30-12-2014"
"628","LAX","DFW","03-07-2014"
"629","LAX","DFW","31-03-2015"
"630","LAX","DFW","08-07-2014"
"631","LAX","DFW","14-12-2014"
"632","LAX","DFW","14-02-2015"
"633","LAX","DFW","27-12-2014"
"634","LAX","DFW","17-01-2015"
"635","LAX","DFW","14-04-2015"
"636","LAX","DFW","15-06-2015"
"637","LAX","DFW","19-05-2015"
"638","LAX","DFW","25-07-2014"
"639","LAX","DFW","03-02-2015"
"640","LAX","DUB","10-07-2014"
"641","LAX","DUB","22-05-2015"
"642","LAX","DUB","15-12-2014"
"643","LAX","DUB","21-11-2014"
"644","LAX","DUB","20-02-2015"
"645","LAX","DUB","29-12-2014"
"646","LAX","DUB","08-10-2014"
"647","LAX","DUB","18-10-2014"
"648","LAX","DUB","22-08-2014"
"649","LAX","DUB","01-04-2015"
"650","LAX","DUB","02-09-2014"
"651","LAX","DUB","02-12-2014"
"652","LAX","DUB","11-08-2014"
"653","LAX","DUB","03-03-2015"
"654","LAX","JFK","24-02-2015"
"655","LAX","JFK","31-07-2014"
"656","LAX","JFK","22-05-2015"
"657","LAX","JFK","06-08-2014"
"658","LAX","JFK","19-12-2014"
"659","LAX","JFK","26-07-2014"
"660","LAX","JFK","29-04-2015"
"661","LAX","JFK","17-11-2014"
"662","LAX","JFK","08-09-2014"
"663","LAX","JFK","24-03-2015"
"664","LAX","JFK","04-12-2014"
"665","LAX","JFK","18-01-2015"
"666","LAX","JFK","07-05-2015"
"667","LAX","JFK","13-09-2014"
"668","LAX","JFK","19-06-2015"
"669","LAX","JFK","28-12-2014"
"670","LAX","JFK","22-03-2015"
"682","LAX","LHR","21-12-2014"
"683","LAX","LHR","12-01-2015"
"684","LAX","LHR","29-12-2014"
"685","LAX","LHR","25-01-2015"
"686","LAX","LHR","15-10-2014"
"687","LAX","LHR","07-02-2015"
"688","LAX","LHR","12-04-2015"
"689","LAX","LHR","16-12-2014"
"690","LAX","LHR","22-01-2015"
"691","LAX","LUV","20-03-2015"
"692","LAX","LUV","11-04-2015"
"693","LAX","LUV","09-09-2014"
"694","LAX","LUV","06-08-2014"
"695","LAX","LUV","15-09-2014"
"696","LAX","LUV","01-08-2014"
"697","LAX","LUV","09-08-2014"
"698","LAX","LUV","04-06-2015"
"699","LAX","LUV","30-03-2015"
"700","LAX","LUV","19-06-2015"
"701","LAX","LUV","01-05-2015"
"702","LAX","LUV","10-07-2014"
"703","LAX","LUV","08-07-2014"
"704","LAX","LUV","18-02-2015"
"705","LAX","MAD","30-05-2015"
"706","LAX","MAD","01-05-2015"
"707","LAX","MAD","27-04-2015"
"708","LAX","MAD","24-07-2014"
"709","LAX","MAD","26-12-2014"
"710","LAX","MAD","01-01-2015"
"711","LAX","MAD","02-05-2015"
"712","LAX","MAD","24-10-2014"
"713","LAX","MAD","20-08-2014"
"714","LAX","MAD","30-08-2014"
"715","LAX","MAD","28-05-2015"
"716","LAX","MAD","25-12-2014"
"717","LAX","MAD","22-12-2014"
"718","LAX","MAD","07-02-2015"
"719","LAX","MUM","24-08-2014"
"720","LAX","MUM","24-07-2014"
"721","LAX","MUM","06-05-2015"
"722","LAX","MUM","18-05-2015"
"723","LAX","MUM","12-10-2014"
"724","LAX","MUM","01-03-2015"
"725","LAX","MUM","31-10-2014"
"726","LAX","MUM","08-06-2015"
"727","LAX","MUM","05-08-2014"
"728","LAX","NDL","07-02-2015"
"729","LAX","NDL","29-10-2014"
"730","LAX","NDL","14-08-2014"
"731","LAX","NDL","19-04-2015"
"732","LAX","NDL","26-03-2015"
"733","LAX","NDL","21-11-2014"
"734","LHR","BLR","22-02-2015"
"735","LHR","BLR","19-02-2015"
"736","LHR","BLR","05-07-2014"
"737","LHR","BLR","25-11-2014"
"738","LHR","BLR","18-04-2015"
"739","LHR","BLR","17-07-2014"
"740","LHR","BLR","15-12-2014"
"741","LHR","BLR","27-12-2014"
"742","LHR","BLR","09-10-2014"
"743","LHR","BLR","11-08-2014"
"744","LHR","BLR","04-02-2015"
"745","LHR","BLR","14-06-2015"
"746","LHR","BLR","07-07-2014"
"747","LHR","BLR","26-04-2015"
"748","LHR","DFW","17-10-2014"
"749","LHR","DFW","24-03-2015"
"750","LHR","DFW","18-01-2015"
"751","LHR","DFW","14-04-2015"
"752","LHR","DFW","22-12-2014"
"753","LHR","DFW","13-10-2014"
"754","LHR","DFW","05-04-2015"
"755","LHR","DFW","08-10-2014"
"757","LHR","DFW","19-10-2014"
"758","LHR","DFW","01-12-2014"
"759","LHR","DFW","30-08-2014"
"760","LHR","DFW","05-02-2015"
"761","LHR","DFW","04-01-2015"
"762","LHR","DUB","18-09-2014"
"763","LHR","DUB","28-01-2015"
"764","LHR","DUB","18-04-2015"
"765","LHR","DUB","08-08-2014"
"766","LHR","DUB","30-12-2014"
"767","LHR","DUB","24-05-2015"
"768","LHR","DUB","27-09-2014"
"769","LHR","DUB","10-10-2014"
"770","LHR","DUB","12-01-2015"
"771","LHR","DUB","23-08-2014"
"772","LHR","DUB","13-10-2014"
"773","LHR","DUB","12-12-2014"
"774","LHR","DUB","01-04-2015"
"775","LHR","DUB","03-04-2015"
"776","LHR","DUB","11-04-2015"
"778","LHR","DUB","21-11-2014"
"779","LHR","JFK","04-10-2014"
"780","LHR","JFK","11-11-2014"
"781","LHR","JFK","11-07-2014"
"782","LHR","JFK","06-08-2014"
"783","LHR","JFK","05-07-2014"
"784","LHR","JFK","02-05-2015"
"785","LHR","JFK","29-01-2015"
"786","LHR","JFK","30-03-2015"
"787","LHR","JFK","20-01-2015"
"788","LHR","JFK","29-04-2015"
"789","LHR","JFK","06-04-2015"
"790","LHR","JFK","12-02-2015"
"791","LHR","JFK","07-04-2015"
"792","LHR","JFK","25-10-2014"
"793","LHR","JFK","14-02-2015"
"795","LHR","JFK","04-11-2014"
"796","LHR","JFK","30-01-2015"
"797","LHR","JFK","09-10-2014"
"798","LHR","LAX","19-07-2014"
"799","LHR","LAX","05-12-2014"
"800","LHR","LAX","26-08-2014"
"801","LHR","LAX","26-10-2014"
"802","LHR","LAX","13-12-2014"
"803","LHR","LAX","18-05-2015"
"804","LHR","LAX","25-08-2014"
"805","LHR","LAX","03-12-2014"
"806","LHR","LAX","14-09-2014"
"807","LHR","LAX","04-02-2015"
"808","LHR","LAX","03-08-2014"
"835","LHR","LUV","23-10-2014"
"836","LHR","LUV","12-09-2014"
"837","LHR","LUV","23-11-2014"
"838","LHR","LUV","05-01-2015"
"839","LHR","LUV","01-05-2015"
"840","LHR","LUV","11-03-2015"
"841","LHR","LUV","02-04-2015"
"842","LHR","LUV","21-11-2014"
"843","LHR","LUV","03-10-2014"
"844","LHR","LUV","17-08-2014"
"845","LHR","LUV","15-08-2014"
"846","LHR","MAD","31-07-2014"
"847","LHR","MAD","13-02-2015"
"848","LHR","MAD","09-11-2014"
"849","LHR","MAD","28-05-2015"
"850","LHR","MAD","20-09-2014"
"851","LHR","MAD","13-07-2014"
"852","LHR","MAD","22-05-2015"
"853","LHR","MAD","22-02-2015"
